GameID,Pitcher,Outs,PitchCount,HBP,BB,FirstHitInning,NoHitBid,K,IP,GB,BallsInPlay
"ANA200007010","washj001",20,107,0,5,6.00,1,2,6.67,16,6
"BAL200005130","johnj007",21,114,0,6,5.67,1,5,7.00,16,6
"BAL200008010","mussm001",27,125,0,2,6.67,1,15,9.00,14,11
"BOS200009030","abbop001",23,106,0,4,7.33,1,4,7.67,19,8
"CLE200005290","washj001",15,88,0,4,-1.00,2,5,5.00,10,3
"DET200006110","hentp001",21,90,0,1,6.33,1,3,7.00,18,8
"KCA200004090","milte001",23,100,0,0,6.67,1,3,7.67,20,8
"MIN200007290","milte001",24,106,0,2,5.33,1,10,8.00,14,8
"NYA200004150","mendr001",20,86,0,0,6.33,1,5,6.67,15,4
"NYA200009180","colob001",27,114,0,1,7.33,1,13,9.00,14,6
"OAK200004040","hudst001",21,104,0,3,6.33,1,8,7.00,13,8
"OAK200006050","eatoa001",19,97,1,5,5.33,1,4,6.33,14,8
"OAK200007080","appik001",21,109,0,2,5.00,1,4,7.00,18,8
"OAK200007200","selea001",19,100,1,4,6.33,1,4,6.33,15,8
"SEA200004260","wrigj002",21,108,0,3,6.00,1,4,7.00,15,8
"SEA200008150","spars001",27,110,0,1,5.67,1,6,9.00,18,13
"SEA200008290","petta001",22,106,0,1,5.67,1,4,7.33,17,9
"TBA200005020","hellr001",22,136,1,6,5.33,1,6,7.33,16,7
"TBA200006100","cornr001",24,104,0,3,6.00,1,0,8.00,24,12
"TBA200008290","martp001",27,110,1,0,8.00,1,13,9.00,14,5
"TBA200009010","meadb001",20,93,0,1,5.33,1,4,6.67,15,8
"TEX200004170","olivd001",24,97,0,1,6.33,1,6,8.00,18,10
"TEX200006050","glynr001",24,108,0,3,5.00,1,6,8.00,18,8
"ARI200005050","johnr005",27,131,0,3,5.00,1,11,9.00,16,10
"ARI200005300","ankir001",18,92,0,2,5.00,1,5,6.00,14,7
"ARI200007200","johnr005",27,124,0,1,5.00,1,11,9.00,15,9
"ATL200009200","leita001",20,114,0,3,5.67,1,2,6.67,18,10
"CHN200005290","liebj001",24,116,0,1,6.67,1,12,8.00,12,6
"CIN200005270","pennb002",16,95,0,4,-1.00,2,4,5.33,13,6
"COL200007172","priea001",18,83,0,0,5.33,1,6,6.00,13,7
"COL200007230","astap001",22,91,1,0,6.00,1,4,7.33,16,10
"FLO200005070","dempr002",27,114,0,4,5.67,1,8,9.00,19,8
"FLO200008010","smitc001",21,101,0,4,5.33,1,7,7.00,13,8
"HOU200008140","holtc001",27,127,1,4,6.00,1,5,9.00,20,7
"HOU200008180","millw001",18,115,0,3,6.00,1,5,6.00,13,8
"HOU200008230","quevr001",24,108,0,4,5.67,1,5,8.00,19,6
"LAN200008230","browk001",21,91,1,0,6.00,1,4,7.00,16,11
"MIL200005040","reyna001",16,80,1,2,5.00,1,3,5.33,12,6
"MIL200007010","damij001",24,89,0,1,5.33,1,4,8.00,21,11
"MIL200008290","parkc002",24,129,1,3,5.67,1,14,8.00,10,7
"NYN200007280","leita001",21,114,0,2,5.00,1,8,7.00,14,8
"NYN200008140","ortir001",21,115,0,6,5.00,1,5,7.00,12,6
"PHI200005200","jarvk001",18,84,0,2,5.33,1,1,6.00,17,7
"PHI200007280","dreid001",21,97,1,2,5.67,1,6,7.00,14,11
"PIT200004060","cordf001",24,108,0,3,7.33,1,7,8.00,16,12
"SDN200007260","eatoa001",21,111,0,2,5.33,1,5,7.00,15,8
"SFN200007041","hernl003",26,132,0,5,6.00,1,7,8.67,18,12
"SFN200009200","ortir001",20,98,1,2,6.00,1,8,6.67,12,10
"SLN200006030","colob001",24,115,0,2,6.00,1,12,8.00,13,11
"SLN200009050","reamb001",17,106,0,4,5.67,1,3,5.67,14,5
"ANA200104140","garcf002",23,126,1,3,5.33,1,6,7.67,17,6
"ANA200104160","muldm001",18,94,0,0,5.00,1,7,6.00,11,3
"ANA200108070","rappp001",21,106,0,1,5.00,1,3,7.00,17,12
"ANA200109040","suppj001",27,112,1,1,6.67,1,4,9.00,23,10
"BAL200104040","nomoh001",27,110,0,3,-1.00,3,11,9.00,16,8
"BOS200104080","martp001",24,112,0,3,5.00,1,16,8.00,8,5
"BOS200104260","nomoh001",21,102,0,5,6.00,1,8,7.00,14,2
"BOS200109020","mussm001",27,116,0,0,8.67,1,13,9.00,14,8
"CHA200105080","washj001",24,125,0,3,6.33,1,6,8.00,18,9
"CHA200106030","spars001",23,101,1,1,5.33,1,4,7.67,20,9
"CHA200108030","buehm001",27,104,1,0,6.00,1,3,9.00,23,10
"CHA200108060","wrigd001",19,115,0,7,6.33,1,4,6.33,14,12
"CHA200109250","glovg001",23,101,0,0,5.00,1,3,7.67,20,9
"CLE200107050","colob001",23,112,0,6,6.00,1,4,7.67,16,8
"CLE200109240","hallr001",19,92,0,1,5.33,1,6,6.33,12,8
"CLE200109280","milte001",21,128,1,6,5.67,1,6,7.00,14,3
"DET200105120","santv001",18,88,0,2,5.33,1,3,6.00,13,1
"DET200105250","holtc001",18,103,0,3,5.00,1,7,6.00,12,9
"KCA200108070","maduc001",18,79,1,0,5.00,1,2,6.00,16,8
"MIN200109180","radkb001",23,104,0,0,7.00,1,8,7.67,16,6
"NYA200107070","appik001",24,107,0,3,5.00,1,8,8.00,14,7
"NYA200107080","ruscg001",17,87,0,2,5.67,1,4,5.67,13,8
"OAK200105190","muldm001",26,102,0,0,6.67,1,3,8.67,24,16
"OAK200105200","buehm001",22,110,0,0,5.33,1,5,7.33,17,10
"SEA200104030","zitob001",21,102,0,4,5.67,1,5,7.00,15,8
"SEA200109070","abbop001",24,117,0,4,5.33,1,4,8.00,20,7
"TBA200106190","waket001",25,113,0,4,8.00,1,8,8.33,19,7
"TBA200107210","olivd001",24,80,0,0,5.33,1,8,8.00,17,10
"TOR200107010","arror001",21,99,0,2,6.00,1,3,7.00,17,9
"TOR200110051","hallr001",27,83,0,0,7.67,1,8,9.00,19,12
"ARI200104100","schic002",27,93,0,0,5.00,1,10,9.00,17,7
"ARI200104270","burkj001",27,103,1,1,5.33,1,5,9.00,21,15
"ARI200107060","muldm001",27,100,0,0,7.00,1,9,9.00,18,15
"CHN200105240","liebj001",27,78,0,1,5.33,1,2,9.00,23,14
"CHN200105250","woodk002",27,114,0,2,6.00,1,14,9.00,13,6
"CHN200106060","woodk002",21,118,0,5,5.00,1,6,7.00,15,5
"CHN200106070","morrm001",23,101,0,1,6.67,1,3,7.67,20,13
"CHN200110060","tavaj001",22,131,2,5,7.33,1,9,7.33,14,12
